Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 27.,,,,,,,,,,
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF RESIDENCE: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Uruguay,"77,369","91,197","89,973","94,648","76,009","79,529","94,873","32,685","24,758","63,805"
Uzbekistan,"9,094","9,320","11,386","11,316","8,450","8,327","10,122","3,188","1,293","8,648"
Vanuatu,317,350,360,452,275,302,389,152,21,200
Venezuela,"825,034","790,900","641,333","635,836","522,269","449,034","461,217","161,896","169,273","216,427"
Vietnam,"69,129","87,929","107,976","114,560","112,524","115,592","135,911","49,708","11,981","55,603"
"Virgin Islands, British","27,244","33,045","33,930","31,861","28,775","25,249","47,369","21,195","5,238","19,344"
"Virgin Islands, U.S.",304,355,482,437,317,420,715,280,106,488
Wallis and Futuna,125,60,53,48,35,302,394,183,38,18
Western Sahara,98,137,131,144,178,150,201,57,25,51
Yemen,"2,316","3,834","3,559","3,556","2,392","1,038",921,535,500,958
Zambia,"4,558","5,039","5,180","5,045","4,619","4,592","5,314","2,180","1,085","3,469"
Zimbabwe,"6,582","8,596","9,311","9,397","7,961","8,107","10,425","4,212","2,150","7,360"
Unknown4,"457,818","4,947,803","7,250,829","6,015,698","2,581,493","108,242","212,352","87,411","22,531","109,306"
D Data withheld to limit disclosure.,,,,,,,,,,
NA Not available.,,,,,,,,,,
X Not applicable.,,,,,,,,,,
1 Includes countries and territories/dependencies.,,,,,,,,,,
2 The number of I-94 nonimmigrant admissions beginning in 2013 greatly exceeds totals reported in previous years due to a more complete count of Canadian air and sea admissions.,,,,,,,,,,
3 United States includes nonimmigrants who self-report that they reside in the United States.,,,,,,,,,,
4 Figures for Serbia and Montenegro (former) and Netherlands Antilles (former) for 2021 and onward are assigned to Unknown.,,,,,,,,,,
"Notes: Admissions represent counts of events (i.e., arrivals), not unique individuals. Multiple entries of an individual on the same day are counted as one admission. The majority of short-term admissions from Canada and Mexico are excluded.  In this table, data are withheld for any cell with a count between 1 and 10, and for any associated cell that could be used to reveal such a count through calculation.",,,,,,,,,,
Source: Office of Homeland Security Statistics.,,,,,,,,,,
